Model,Method,AUROC,Threshold,Coverage,Risk,TPR,TNR
Llama-3.1-8B-Instruct,Ensemble,0.606,0.532,62.9%,0.617,0.429,0.753
Llama-3.1-8B-Instruct,MaxSeqProb,0.598,14.930,27.9%,0.385,0.796,0.364
Llama-3.1-8B-Instruct,MeanTokEnt,0.592,0.151,47.8%,0.610,0.571,0.583
Llama-3.1-8B-Instruct,Ensemble,0.585,0.464,37.6%,0.428,0.696,0.455
Llama-3.1-8B-Instruct,Perplexity,0.584,1.337,39.2%,0.416,0.691,0.484
Llama-3.1-8B-Instruct,MeanTokEnt,0.576,0.528,30.7%,0.411,0.761,0.382
Llama-3.1-8B-Instruct,MaxSeqProb,0.522,0.532,77.3%,0.662,0.247,0.815
Llama-3.1-8B-Instruct,Perplexity,0.522,1.112,77.3%,0.662,0.247,0.815
Mistral-7B-Instruct-v0.3,MaxSeqProb,0.641,0.147,62.2%,0.439,0.490,0.750
Mistral-7B-Instruct-v0.3,Perplexity,0.634,1.024,48.6%,0.425,0.614,0.601
Mistral-7B-Instruct-v0.3,MeanTokEnt,0.624,0.106,49.8%,0.432,0.598,0.609
Mistral-7B-Instruct-v0.3,Ensemble,0.620,0.452,47.7%,0.422,0.624,0.593
Mistral-7B-Instruct-v0.3,MaxSeqProb,0.530,22.523,80.8%,0.538,0.225,0.851
Mistral-7B-Instruct-v0.3,Ensemble,0.517,0.511,61.1%,0.536,0.416,0.645
Mistral-7B-Instruct-v0.3,Perplexity,0.513,1.279,64.5%,0.540,0.379,0.676
Mistral-7B-Instruct-v0.3,MeanTokEnt,0.506,0.479,74.5%,0.546,0.275,0.772
Qwen3-4B-Instruct-2507,MaxSeqProb,0.590,6.009,49.9%,0.502,0.578,0.613
Qwen3-4B-Instruct-2507,Ensemble,0.587,0.488,23.7%,0.349,0.853,0.354
Qwen3-4B-Instruct-2507,Ensemble,0.585,0.482,49.1%,0.509,0.580,0.595
Qwen3-4B-Instruct-2507,MeanTokEnt,0.570,0.214,59.8%,0.539,0.457,0.680
Qwen3-4B-Instruct-2507,Perplexity,0.567,1.102,53.4%,0.525,0.528,0.625
Qwen3-4B-Instruct-2507,MaxSeqProb,0.475,0.002,15.1%,0.492,0.868,0.176
Qwen3-4B-Instruct-2507,Perplexity,0.457,1.000,15.1%,0.492,0.868,0.176
Qwen3-4B-Instruct-2507,MeanTokEnt,0.448,0.003,15.3%,0.492,0.866,0.178
gemma-3-12b-it,Perplexity,0.606,1.203,51.9%,0.436,0.563,0.608
gemma-3-12b-it,MeanTokEnt,0.606,0.386,55.3%,0.443,0.527,0.638
gemma-3-12b-it,Ensemble,0.601,0.517,57.1%,0.444,0.511,0.659
gemma-3-12b-it,MaxSeqProb,0.594,11.679,43.0%,0.425,0.647,0.513
gemma-3-12b-it,MeanTokEnt,0.592,0.000,37.3%,0.427,0.702,0.460
gemma-3-12b-it,MeanTokEnt [Logic Check On],0.591,0.000,56.2%,0.464,0.513,0.649
gemma-3-12b-it,Ensemble [Logic Check On],0.559,0.514,29.4%,0.424,0.767,0.364
gemma-3-12b-it,LogicalContradiction [Logic Check On],0.553,1.000,24.4%,0.426,0.806,0.301
gemma-3-12b-it,Perplexity,0.552,1.000,68.2%,0.495,0.370,0.742
gemma-3-12b-it,Perplexity [Logic Check On],0.551,1.000,68.4%,0.495,0.367,0.742
gemma-3-12b-it,MaxSeqProb,0.551,0.000,68.2%,0.495,0.370,0.742
gemma-3-12b-it,MaxSeqProb [Logic Check On],0.550,0.000,68.4%,0.495,0.367,0.742
gemma-3-12b-it,Ensemble,0.544,0.496,81.3%,0.506,0.231,0.864
