Model,Method,AUROC,Threshold,Coverage,Risk,TPR,TNR
Llama-3.1-8B-Instruct,MeanTokEnt [Logic Check On],0.669 ± 0.000,0.164 ± 0.000,52.5% ± 0.0%,0.598 ± 0.000,0.553 ± 0.000,0.710 ± 0.000
Llama-3.1-8B-Instruct,Ensemble [Logic Check On],0.664 ± 0.001,0.540 ± 0.012,49.7% ± 4.0%,0.596 ± 0.007,0.577 ± 0.038,0.672 ± 0.041
Llama-3.1-8B-Instruct,MeanTokEnt,0.654 ± 0.000,0.147 ± 0.000,40.4% ± 0.0%,0.572 ± 0.000,0.667 ± 0.000,0.565 ± 0.000
Llama-3.1-8B-Instruct,Ensemble,0.654 ± 0.003,0.544 ± 0.027,54.7% ± 10.7%,0.599 ± 0.016,0.525 ± 0.106,0.710 ± 0.110
Llama-3.1-8B-Instruct,MaxSeqProb [Logic Check On],0.609 ± 0.000,0.267 ± 0.000,37.0% ± 0.0%,0.595 ± 0.000,0.687 ± 0.000,0.502 ± 0.000
Llama-3.1-8B-Instruct,Perplexity [Logic Check On],0.609 ± 0.000,1.055 ± 0.000,37.0% ± 0.0%,0.595 ± 0.000,0.687 ± 0.000,0.502 ± 0.000
Llama-3.1-8B-Instruct,MaxSeqProb,0.592 ± 0.000,0.267 ± 0.000,37.0% ± 0.0%,0.595 ± 0.000,0.683 ± 0.000,0.488 ± 0.000
Llama-3.1-8B-Instruct,Perplexity,0.592 ± 0.000,1.055 ± 0.000,37.0% ± 0.0%,0.595 ± 0.000,0.683 ± 0.000,0.488 ± 0.000
Llama-3.1-8B-Instruct,LogicalContradiction [Logic Check On],0.512 ± 0.000,1.000 ± 0.000,91.2% ± 0.0%,0.696 ± 0.000,0.095 ± 0.000,0.929 ± 0.000
Mistral-7B-Instruct-v0.3,Ensemble [Logic Check On],0.629 ± 0.000,0.475 ± 0.011,51.6% ± 2.0%,0.406 ± 0.003,0.591 ± 0.019,0.629 ± 0.021
Mistral-7B-Instruct-v0.3,Perplexity,0.625 ± 0.000,1.030 ± 0.000,55.7% ± 0.0%,0.435 ± 0.000,0.534 ± 0.000,0.657 ± 0.000
Mistral-7B-Instruct-v0.3,MeanTokEnt,0.625 ± 0.000,0.053 ± 0.000,39.6% ± 0.0%,0.394 ± 0.000,0.701 ± 0.000,0.500 ± 0.000
Mistral-7B-Instruct-v0.3,MaxSeqProb,0.624 ± 0.000,0.145 ± 0.000,64.5% ± 0.0%,0.444 ± 0.000,0.449 ± 0.000,0.747 ± 0.000
Mistral-7B-Instruct-v0.3,Ensemble,0.617 ± 0.005,0.483 ± 0.033,54.9% ± 9.2%,0.430 ± 0.018,0.543 ± 0.093,0.649 ± 0.092
Mistral-7B-Instruct-v0.3,MeanTokEnt [Logic Check On],0.615 ± 0.002,0.053 ± 0.000,39.6% ± 0.0%,0.394 ± 0.000,0.696 ± 0.001,0.492 ± 0.002
Mistral-7B-Instruct-v0.3,Perplexity [Logic Check On],0.611 ± 0.003,1.025 ± 0.007,52.5% ± 4.5%,0.429 ± 0.008,0.560 ± 0.044,0.615 ± 0.047
Mistral-7B-Instruct-v0.3,MaxSeqProb [Logic Check On],0.609 ± 0.003,0.059 ± 0.058,45.9% ± 13.0%,0.408 ± 0.025,0.629 ± 0.128,0.550 ± 0.131
Mistral-7B-Instruct-v0.3,LogicalContradiction [Logic Check On],0.590 ± 0.002,1.000 ± 0.000,71.9% ± 0.5%,0.450 ± 0.002,0.368 ± 0.002,0.811 ± 0.007
Qwen3-4B-Instruct-2507,Ensemble [Logic Check On],0.647 ± 0.003,0.526 ± 0.028,58.3% ± 2.0%,0.458 ± 0.007,0.532 ± 0.023,0.738 ± 0.016
Qwen3-4B-Instruct-2507,LogicalContradiction [Logic Check On],0.618 ± 0.000,1.000 ± 0.000,62.9% ± 0.0%,0.479 ± 0.000,0.472 ± 0.000,0.764 ± 0.000
Qwen3-4B-Instruct-2507,Ensemble,0.561 ± 0.006,0.461 ± 0.009,22.0% ± 0.3%,0.345 ± 0.002,0.867 ± 0.003,0.333 ± 0.003
Qwen3-4B-Instruct-2507,MaxSeqProb [Logic Check On],0.468 ± 0.000,0.001 ± 0.000,19.4% ± 0.0%,0.516 ± 0.000,0.825 ± 0.000,0.219 ± 0.000
Qwen3-4B-Instruct-2507,MaxSeqProb,0.466 ± 0.000,0.001 ± 0.000,19.4% ± 0.0%,0.516 ± 0.000,0.824 ± 0.000,0.218 ± 0.000
Qwen3-4B-Instruct-2507,Perplexity,0.459 ± 0.000,1.000 ± 0.000,19.4% ± 0.0%,0.516 ± 0.000,0.824 ± 0.000,0.218 ± 0.000
Qwen3-4B-Instruct-2507,Perplexity [Logic Check On],0.458 ± 0.000,1.000 ± 0.000,19.4% ± 0.0%,0.516 ± 0.000,0.825 ± 0.000,0.219 ± 0.000
Qwen3-4B-Instruct-2507,MeanTokEnt [Logic Check On],0.448 ± 0.000,0.004 ± 0.000,25.7% ± 0.0%,0.524 ± 0.000,0.764 ± 0.000,0.285 ± 0.000
Qwen3-4B-Instruct-2507,MeanTokEnt,0.446 ± 0.000,0.004 ± 0.000,25.7% ± 0.0%,0.524 ± 0.000,0.763 ± 0.000,0.284 ± 0.000
