Model,Method,AUROC,Threshold,Coverage,Risk,TPR,TNR
Llama-3.1-8B-Instruct,Ensemble [Logic Check On],0.658 ± 0.000,0.480 ± 0.002,50.9% ± 0.3%,0.329 ± 0.000,0.625 ± 0.001,0.617 ± 0.004
Llama-3.1-8B-Instruct,Ensemble,0.658 ± 0.000,0.480 ± 0.009,50.1% ± 2.3%,0.327 ± 0.006,0.633 ± 0.023,0.610 ± 0.023
Llama-3.1-8B-Instruct,MaxSeqProb [Logic Check On],0.657 ± 0.000,0.219 ± 0.000,52.1% ± 0.0%,0.334 ± 0.000,0.609 ± 0.000,0.626 ± 0.000
Llama-3.1-8B-Instruct,MaxSeqProb,0.657 ± 0.000,0.219 ± 0.000,51.9% ± 0.0%,0.334 ± 0.000,0.612 ± 0.000,0.624 ± 0.000
Llama-3.1-8B-Instruct,Perplexity,0.656 ± 0.000,1.116 ± 0.000,51.9% ± 0.0%,0.335 ± 0.000,0.611 ± 0.000,0.624 ± 0.000
Llama-3.1-8B-Instruct,Perplexity [Logic Check On],0.656 ± 0.000,1.116 ± 0.000,52.1% ± 0.0%,0.335 ± 0.000,0.609 ± 0.000,0.626 ± 0.000
Llama-3.1-8B-Instruct,MeanTokEnt [Logic Check On],0.644 ± 0.000,0.278 ± 0.000,48.1% ± 0.0%,0.324 ± 0.000,0.651 ± 0.000,0.586 ± 0.000
Llama-3.1-8B-Instruct,MeanTokEnt,0.642 ± 0.000,0.279 ± 0.000,48.4% ± 0.0%,0.331 ± 0.000,0.642 ± 0.000,0.585 ± 0.000
Llama-3.1-8B-Instruct,LogicalContradiction [Logic Check On],0.466 ± 0.000,inf,100.0% ± 0.0%,0.446 ± 0.000,0.000 ± 0.000,1.000 ± 0.000
Mistral-7B-Instruct-v0.3,Ensemble [Logic Check On],0.690 ± 0.005,0.470 ± 0.008,43.9% ± 0.8%,0.324 ± 0.004,0.717 ± 0.008,0.597 ± 0.008
Mistral-7B-Instruct-v0.3,Ensemble,0.679 ± 0.001,0.414 ± 0.002,35.3% ± 0.5%,0.309 ± 0.002,0.784 ± 0.004,0.493 ± 0.005
Mistral-7B-Instruct-v0.3,MaxSeqProb,0.662 ± 0.000,0.132 ± 0.000,35.9% ± 0.0%,0.318 ± 0.000,0.774 ± 0.000,0.494 ± 0.000
Mistral-7B-Instruct-v0.3,MaxSeqProb [Logic Check On],0.661 ± 0.002,0.132 ± 0.000,35.9% ± 0.0%,0.317 ± 0.001,0.773 ± 0.002,0.492 ± 0.002
Mistral-7B-Instruct-v0.3,Perplexity,0.623 ± 0.000,1.037 ± 0.000,29.4% ± 0.0%,0.320 ± 0.000,0.814 ± 0.000,0.403 ± 0.000
Mistral-7B-Instruct-v0.3,Perplexity [Logic Check On],0.621 ± 0.003,1.036 ± 0.002,28.6% ± 1.1%,0.312 ± 0.007,0.822 ± 0.011,0.395 ± 0.010
Mistral-7B-Instruct-v0.3,MeanTokEnt [Logic Check On],0.587 ± 0.002,0.097 ± 0.005,22.7% ± 1.2%,0.285 ± 0.012,0.871 ± 0.012,0.327 ± 0.013
Mistral-7B-Instruct-v0.3,MeanTokEnt,0.584 ± 0.000,0.105 ± 0.000,24.9% ± 0.0%,0.307 ± 0.000,0.848 ± 0.000,0.349 ± 0.000
Mistral-7B-Instruct-v0.3,LogicalContradiction [Logic Check On],0.401 ± 0.004,inf,100.0% ± 0.0%,0.502 ± 0.002,0.000 ± 0.000,1.000 ± 0.000
Qwen3-4B-Instruct-2507,MaxSeqProb [Logic Check On],0.677 ± 0.000,0.002 ± 0.000,52.1% ± 0.0%,0.299 ± 0.000,0.633 ± 0.000,0.635 ± 0.000
Qwen3-4B-Instruct-2507,Perplexity [Logic Check On],0.675 ± 0.000,1.001 ± 0.000,52.1% ± 0.0%,0.300 ± 0.000,0.632 ± 0.000,0.635 ± 0.000
Qwen3-4B-Instruct-2507,MeanTokEnt [Logic Check On],0.674 ± 0.000,0.007 ± 0.000,52.1% ± 0.0%,0.299 ± 0.000,0.633 ± 0.000,0.635 ± 0.000
Qwen3-4B-Instruct-2507,MaxSeqProb,0.672 ± 0.000,0.002 ± 0.000,52.1% ± 0.0%,0.299 ± 0.000,0.630 ± 0.000,0.632 ± 0.000
Qwen3-4B-Instruct-2507,Perplexity,0.671 ± 0.000,1.001 ± 0.000,52.1% ± 0.0%,0.300 ± 0.000,0.630 ± 0.000,0.632 ± 0.000
Qwen3-4B-Instruct-2507,MeanTokEnt,0.669 ± 0.000,0.007 ± 0.000,52.1% ± 0.0%,0.299 ± 0.000,0.630 ± 0.000,0.632 ± 0.000
Qwen3-4B-Instruct-2507,Ensemble [Logic Check On],0.651 ± 0.003,0.432 ± 0.002,56.2% ± 0.9%,0.312 ± 0.002,0.587 ± 0.009,0.672 ± 0.009
Qwen3-4B-Instruct-2507,Ensemble,0.650 ± 0.005,0.427 ± 0.003,51.5% ± 2.1%,0.299 ± 0.007,0.634 ± 0.023,0.624 ± 0.020
Qwen3-4B-Instruct-2507,LogicalContradiction [Logic Check On],0.472 ± 0.000,inf,100.0% ± 0.0%,0.425 ± 0.000,0.000 ± 0.000,1.000 ± 0.000
