Dataset,Model,Method,AUROC,Flag Rate
quantemp,Llama-3.1-8B-Instruct,MaxSeqProb [Logic Check On],0.663 ± 0.000,46.9% ± 0.0%
quantemp,Llama-3.1-8B-Instruct,Perplexity [Logic Check On],0.662 ± 0.000,46.9% ± 0.0%
quantemp,Llama-3.1-8B-Instruct,Ensemble,0.655 ± 0.002,48.7% ± 2.0%
quantemp,Llama-3.1-8B-Instruct,Ensemble [Logic Check On],0.652 ± 0.001,48.0% ± 0.3%
quantemp,Llama-3.1-8B-Instruct,MeanTokEnt [Logic Check On],0.642 ± 0.003,50.3% ± 0.2%
quantemp,Llama-3.1-8B-Instruct,LogicalContradiction [Logic Check On],0.473 ± 0.000,0.0% ± 0.0%
quantemp,Qwen3-4B-Instruct-2507,Ensemble,0.654 ± 0.006,50.1% ± 2.2%
quantemp,Qwen3-4B-Instruct-2507,MaxSeqProb [Logic Check On],0.652 ± 0.002,49.6% ± 0.0%
quantemp,Qwen3-4B-Instruct-2507,Perplexity [Logic Check On],0.652 ± 0.002,49.5% ± 0.0%
quantemp,Qwen3-4B-Instruct-2507,MeanTokEnt [Logic Check On],0.651 ± 0.000,49.6% ± 0.0%
quantemp,Qwen3-4B-Instruct-2507,Ensemble [Logic Check On],0.644 ± 0.002,45.1% ± 1.0%
quantemp,Qwen3-4B-Instruct-2507,LogicalContradiction [Logic Check On],0.466 ± 0.000,0.0% ± 0.0%
quantemp,Mistral-7B-Instruct-v0.3,Ensemble [Logic Check On],0.683 ± 0.006,57.5% ± 0.7%
quantemp,Mistral-7B-Instruct-v0.3,Ensemble,0.666 ± 0.006,66.3% ± 0.4%
quantemp,Mistral-7B-Instruct-v0.3,MaxSeqProb [Logic Check On],0.641 ± 0.000,65.5% ± 0.0%
quantemp,Mistral-7B-Instruct-v0.3,Perplexity [Logic Check On],0.595 ± 0.001,71.5% ± 0.9%
quantemp,Mistral-7B-Instruct-v0.3,MeanTokEnt [Logic Check On],0.570 ± 0.003,76.8% ± 1.2%
quantemp,Mistral-7B-Instruct-v0.3,LogicalContradiction [Logic Check On],0.399 ± 0.001,0.0% ± 0.0%
scifact,Llama-3.1-8B-Instruct,MeanTokEnt [Logic Check On],0.673 ± 0.000,67.3% ± 0.0%
scifact,Llama-3.1-8B-Instruct,Ensemble,0.661 ± 0.020,61.1% ± 2.4%
scifact,Llama-3.1-8B-Instruct,Ensemble [Logic Check On],0.661 ± 0.017,51.9% ± 3.8%
scifact,Llama-3.1-8B-Instruct,MaxSeqProb [Logic Check On],0.618 ± 0.000,67.3% ± 0.0%
scifact,Llama-3.1-8B-Instruct,Perplexity [Logic Check On],0.618 ± 0.000,67.3% ± 0.0%
scifact,Llama-3.1-8B-Instruct,LogicalContradiction [Logic Check On],0.493 ± 0.000,11.7% ± 0.0%
scifact,Qwen3-4B-Instruct-2507,Ensemble [Logic Check On],0.675 ± 0.001,40.1% ± 1.1%
scifact,Qwen3-4B-Instruct-2507,LogicalContradiction [Logic Check On],0.646 ± 0.000,37.0% ± 0.0%
scifact,Qwen3-4B-Instruct-2507,Ensemble,0.584 ± 0.007,77.1% ± 0.6%
scifact,Qwen3-4B-Instruct-2507,MaxSeqProb [Logic Check On],0.420 ± 0.000,76.3% ± 0.0%
scifact,Qwen3-4B-Instruct-2507,Perplexity [Logic Check On],0.418 ± 0.000,76.3% ± 0.0%
scifact,Qwen3-4B-Instruct-2507,MeanTokEnt [Logic Check On],0.417 ± 0.000,70.0% ± 0.0%
scifact,Mistral-7B-Instruct-v0.3,Ensemble [Logic Check On],0.648 ± 0.004,39.7% ± 6.9%
scifact,Mistral-7B-Instruct-v0.3,MaxSeqProb [Logic Check On],0.600 ± 0.000,31.7% ± 0.0%
scifact,Mistral-7B-Instruct-v0.3,LogicalContradiction [Logic Check On],0.599 ± 0.004,24.8% ± 0.7%
scifact,Mistral-7B-Instruct-v0.3,Perplexity [Logic Check On],0.590 ± 0.000,44.3% ± 0.0%
scifact,Mistral-7B-Instruct-v0.3,MeanTokEnt [Logic Check On],0.589 ± 0.000,58.0% ± 0.0%
scifact,Mistral-7B-Instruct-v0.3,Ensemble,0.575 ± 0.019,46.4% ± 8.8%
