Dataset,Model,Method,Balanced_Accuracy,Flag Rate,Total_Tokens,LLM_Calls,Retrieval_Calls,Latency_Sec
quantemp,Llama-3.1-8B-Instruct,Parametric (0% RAG),0.394 ± 0.000,0.0% ± 0.0%,202 ± 0,1.00 ± 0.00,0.00 ± 0.00,0.10s ± 0.00s
quantemp,Llama-3.1-8B-Instruct,Always Retrieve,0.612 ± 0.000,100.0% ± 0.0%,1245 ± 0,1.00 ± 0.00,1.00 ± 0.00,2.71s ± 0.03s
quantemp,Llama-3.1-8B-Instruct,Granular,0.544 ± 0.005,0.0% ± 0.0%,4216 ± 2,4.02 ± 0.00,3.02 ± 0.00,9.16s ± 0.02s
quantemp,Llama-3.1-8B-Instruct,MeanTokEnt [Logic Check On],0.566 ± 0.000,58.5% ± 0.0%,936 ± 0,1.59 ± 0.00,0.59 ± 0.00,1.72s ± 0.02s
quantemp,Llama-3.1-8B-Instruct,Ensemble [Logic Check On],0.560 ± 0.001,55.9% ± 0.8%,1243 ± 10,3.56 ± 0.01,0.56 ± 0.01,2.60s ± 0.02s
quantemp,Llama-3.1-8B-Instruct,MaxSeqProb [Logic Check On],0.559 ± 0.000,55.0% ± 0.0%,894 ± 0,1.55 ± 0.00,0.55 ± 0.00,1.61s ± 0.01s
quantemp,Llama-3.1-8B-Instruct,Perplexity [Logic Check On],0.559 ± 0.000,55.0% ± 0.0%,894 ± 0,1.55 ± 0.00,0.55 ± 0.00,1.61s ± 0.00s
quantemp,Llama-3.1-8B-Instruct,Ensemble,0.553 ± 0.000,50.2% ± 0.0%,834 ± 0,1.50 ± 0.00,0.50 ± 0.00,1.49s ± 0.01s
quantemp,Llama-3.1-8B-Instruct,LogicalContradiction [Logic Check On],0.405 ± 0.000,0.0% ± 0.0%,541 ± 0,3.00 ± 0.00,0.00 ± 0.00,1.09s ± 0.00s
quantemp,Qwen3-4B-Instruct-2507,Parametric (0% RAG),0.362 ± 0.000,0.0% ± 0.0%,175 ± 0,1.00 ± 0.00,0.00 ± 0.00,0.12s ± 0.00s
